COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,SUBTITLE,TITLE,DATAARRTXT
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,장티푸스,제2급,1`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`1`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0
4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,파라티푸스,제2급,4`0`0`0`0`0`1`0`0`0`0`0`0`0`1`0`0`0`0`1`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`1`0`0`0`0`0`0`0`0`0
16,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,세균성이질,제2급,16`0`0`0`0`0`0`0`1`0`0`1`0`0`2`0`1`0`0`0`0`0`2`0`0`0`0`0`0`0`2`0`0`1`1`0`0`1`0`0`1`0`2`1`0`0`0`0`0`0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한센병,제2급,0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0
70,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,3,0,0,4,4,2,1,3,5,2,4,8,3,5,2,5,1,2,1,2,2,2,0,3,0,1,0,0,0,0,0,말라리아,제3급,70`0`0`0`0`0`0`1`0`1`0`0`0`1`1`1`0`0`0`3`0`0`4`4`2`1`3`5`2`4`8`3`5`2`5`1`2`1`2`2`2`0`3`0`1`0`0`0`0`0
146,3,3,1,1,0,4,5,0,3,1,5,1,1,0,6,3,2,2,2,2,3,6,4,0,4,6,1,7,2,2,2,2,3,1,5,5,2,2,2,3,2,4,4,7,3,7,5,6,1,레지오넬라증,제3급,146`3`3`1`1`0`4`5`0`3`1`5`1`1`0`6`3`2`2`2`2`3`6`4`0`4`6`1`7`2`2`2`2`3`1`5`5`2`2`2`3`2`4`4`7`3`7`5`6`1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,비브리오패혈증,제3급,8`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`1`0`0`0`0`0`0`0`1`1`1`1`1`0`1`0`0`0`1`0`0`0`0`0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,8,9,29,24,9,3,쯔쯔가무시증,제3급,92`0`0`0`0`0`0`0`0`0`0`0`0`0`0`0`1`0`0`0`0`0`0`0`0`2`0`0`0`1`0`0`0`0`0`0`0`1`0`0`0`0`1`4`8`9`29`24`9`3
7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,신증후군출혈열,제3급,7`0`1`0`0`0`0`0`0`1`0`0`0`0`0`0`0`0`0`0`0`0`0`0`1`0`0`0`0`0`0`0`0`1`0`0`0`0`0`0`0`0`1`1`0`0`1`0`0`0
27,0,2,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,0,0,0,1,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,뎅기열,제3급,27`0`2`1`0`1`1`1`0`0`0`1`1`1`0`0`0`0`0`0`0`1`1`0`1`0`1`1`0`1`2`0`0`0`1`2`3`3`0`0`0`0`0`1`0`0`0`0`0`0
